affiliationid,normalizedname,displayname,university_normalized,University,Country
105604004,penn state abington,Penn State Abington,penn state abington,NA,NA
110220311,wako university,Wako University,wako university,NA,NA
113808498,departamento de oceanografia e pescas,Departamento de Oceanografia e Pescas,departamento de oceanografia e pescas,NA,NA
118906564,hanzhong university,Hanzhong University,hanzhong university,NA,NA
119487337,yaskawa electric corporation,Yaskawa Electric Corporation,yaskawa electric corporation,NA,NA
132121772,durrell wildlife conservation trust,Durrell Wildlife Conservation Trust,durrell wildlife conservation trust,NA,NA
136313497,georgia perimeter college,Georgia Perimeter College,georgia perimeter college,NA,NA
138728355,kek,KEK,kek,NA,NA
140863075,myriad genetics,Myriad Genetics,myriad genetics,NA,NA
141670070,willamette university,Willamette University,willamette university,NA,NA
142600864,college of san mateo,College of San Mateo,college of san mateo,NA,NA
152225415,international fund for animal welfare,International Fund for Animal Welfare,international fund for animal welfare,NA,NA
152238500,chosun university,Chosun University,chosun university,Chosun University,South Korea
156816899,human interaction research institute,Human Interaction Research Institute,human interaction research institute,NA,NA
162361429,university of mondragon,University of Mondragón,university of mondragon,NA,NA
167724894,universidad autonoma de la ciudad de mexico,Universidad Autónoma de la Ciudad de México,universidad autonoma de la ciudad de mexico,NA,NA
172828483,university of sri jayewardenepura,University of Sri Jayewardenepura,university of sri jayewardenepura,NA,NA
174410689,dspace gmbh,dSPACE GmbH,dspace gmbh,NA,NA
182377803,university of sierra leone,University of Sierra Leone,university of sierra leone,NA,NA
185665358,interamerican university of puerto rico,Interamerican University of Puerto Rico,interamerican university of puerto rico,NA,NA
185689013,aalesund university college,Aalesund University College,aalesund university college,NA,NA
189731429,wellesley college,Wellesley College,wellesley college,NA,NA
195385193,anne arundel community college,Anne Arundel Community College,anne arundel community college,NA,NA
196659088,calvin theological seminary,Calvin Theological Seminary,calvin theological seminary,NA,NA
197185219,istanbul kultur university,Istanbul Kültür University,istanbul kultur university,NA,NA
208333798,university of missouri st louis,University of Missouri–St. Louis,university of missouri-st. louis,NA,NA
230965063,uganda management institute,Uganda Management Institute,uganda management institute,NA,NA
271619925,outboard marine corporation,Outboard Marine Corporation,outboard marine corporation,NA,NA
309351856,dignitas international,Dignitas International,dignitas international,NA,NA
320697907,sanjel corporation,Sanjel Corporation,sanjel corporation,NA,NA
322093298,texas a m transportation institute,Texas A&M Transportation Institute,texas a&m transportation institute,NA,NA
876729849,egon zehnder,Egon Zehnder,egon zehnder,NA,NA
881603514,think cell,think-cell,think-cell,NA,NA
890115928,berkshire hathaway,Berkshire Hathaway,berkshire hathaway,NA,NA
904013037,european university of madrid,European University of Madrid,european university of madrid,NA,NA
907487031,mediatech institute,MediaTech Institute,mediatech institute,NA,NA
919052982,central saint martins,Central Saint Martins,central saint martins,NA,NA
931750010,cabela s,Cabela's,cabela's,NA,NA
1289790988,national audubon society,National Audubon Society,national audubon society,NA,NA
1296127346,broadcom,Broadcom,broadcom,NA,NA
1297146569,suqian college,Suqian College,suqian college,NA,NA
1306130067,u s fund for unicef,U.S. Fund for UNICEF,u.s. fund for unicef,NA,NA
1307740848,tennessee valley authority,Tennessee Valley Authority,tennessee valley authority,NA,NA
1309102884,indiana department of education,Indiana Department of Education,indiana department of education,NA,NA
1314892704,honda r d americas,Honda R&D Americas,honda r&d americas,NA,NA
1315792047,ascap,ASCAP,ascap,NA,NA
1327677335,paccar,Paccar,paccar,NA,NA
1334364371,harris corporation,Harris Corporation,harris corporation,NA,NA
1336096307,united states department of agriculture,United States Department of Agriculture,united states department of agriculture,NA,NA
1341015664,ministry of education and training,Ministry of Education and Training,ministry of education and training,NA,NA
2799299914,telus world of science,Telus World of Science,telus world of science,NA,NA
2799552245,shenhua group china,Shenhua Group (China),shenhua group (china),NA,NA
2799624011,heritage college,Heritage College,heritage college,NA,NA
2800075581,san francisco conservatory of music,San Francisco Conservatory of Music,san francisco conservatory of music,NA,NA
2800084889,lilavati hospital and research centre,Lilavati Hospital and Research Centre,lilavati hospital and research centre,NA,NA
2800271857,sumco corporation japan,Sumco Corporation (Japan),sumco corporation (japan),NA,NA
2800379142,university of paris seine,University of Paris-Seine,university of paris-seine,NA,NA
2800635283,blue mountain community college,Blue Mountain Community College,blue mountain community college,NA,NA
2800668438,fort scott community college,Fort Scott Community College,fort scott community college,NA,NA
2800738941,barnsley college,Barnsley College,barnsley college,NA,NA
2800917751,south seattle college,South Seattle College,south seattle college,NA,NA
2801284277,oregon coast community college,Oregon Coast Community College,oregon coast community college,NA,NA
2801507491,netherlands space office,Netherlands Space Office,netherlands space office,NA,NA
2801707353,ahmet yesevi university,Ahmet Yesevi University,ahmet yesevi university,NA,NA
2801884250,british broadcasting corporation united kingdom,British Broadcasting Corporation (United Kingdom),british broadcasting corporation (united kingdom),NA,NA
2801901481,red cross university college of nursing,Red Cross University College of Nursing,red cross university college of nursing,NA,NA
2801956401,johnson electric switzerland,Johnson Electric (Switzerland),johnson electric (switzerland),NA,NA
2801980077,mithila minority dental college and hospital,Mithila Minority Dental College And Hospital,mithila minority dental college and hospital,NA,NA
2802184509,cyprus police,Cyprus Police,cyprus police,NA,NA
2802225915,changi general hospital,Changi General Hospital,changi general hospital,NA,NA
2802499799,kent state university east liverpool,"Kent State University, East Liverpool","kent state university, east liverpool",NA,NA
2802503132,services hospital,Services Hospital,services hospital,NA,NA
2802744760,danish school of media and journalism,Danish School of Media and Journalism,danish school of media and journalism,NA,NA
2802779960,augusta technical college,Augusta Technical College,augusta technical college,NA,NA
2802853113,henry ford allegiance health,Henry Ford Allegiance Health,henry ford allegiance health,NA,NA
2802870671,energias de portugal portugal,Energias de Portugal (Portugal),energias de portugal (portugal),NA,NA
2802923914,clatsop community college,Clatsop Community College,clatsop community college,NA,NA
313030,national university of jujuy,National University of Jujuy,national university of jujuy,NA,NA
1836511,the vanguard group,The Vanguard Group,the vanguard group,NA,NA
2971882,taisho university,Taisho University,taisho university,NA,NA
12153360,shota rustaveli state university,Shota Rustaveli State University,shota rustaveli state university,NA,NA
13541936,huntingdon life sciences,Huntingdon Life Sciences,huntingdon life sciences,NA,NA
16998956,whiteshell laboratories,Whiteshell Laboratories,whiteshell laboratories,NA,NA
21450314,bruegel,Bruegel,bruegel,NA,NA
24359323,robert koch institute,Robert Koch Institute,robert koch institute,NA,NA
27570832,jadara university,Jadara University,jadara university,NA,NA
51121346,institute for public policy research,Institute for Public Policy Research,institute for public policy research,NA,NA
59270414,indian institute of science,Indian Institute of Science,indian institute of science,Indian Institute of Science,India
66913435,centraalbureau voor schimmelcultures,Centraalbureau voor Schimmelcultures,centraalbureau voor schimmelcultures,NA,NA
70971781,dr b r ambedkar national institute of technology jalandhar,Dr. B. R. Ambedkar National Institute of Technology Jalandhar,dr. b. r. ambedkar national institute of technology jalandhar,NA,NA
74973139,carnegie mellon university,Carnegie Mellon University,carnegie mellon university,Carnegie Mellon University,United States
82917088,delta state university,Delta State University,delta state university,NA,NA
88973175,eckerd college,Eckerd College,eckerd college,NA,NA
89008938,university of eastern africa baraton,"University of Eastern Africa, Baraton","university of eastern africa, baraton",NA,NA
90589149,fresenius medical care,Fresenius Medical Care,fresenius medical care,NA,NA
91699865,indian institute of management lucknow,Indian Institute of Management Lucknow,indian institute of management lucknow,NA,NA
93989153,osaka university of arts,Osaka University of Arts,osaka university of arts,NA,NA
98940699,chukyo university,Chukyo University,chukyo university,NA,NA
99595426,menninger foundation,Menninger Foundation,menninger foundation,NA,NA
101286899,diablo valley college,Diablo Valley College,diablo valley college,NA,NA
103893186,algonquin college,Algonquin College,algonquin college,NA,NA
106296451,university of foggia,University of Foggia,university of foggia,NA,NA
109962186,orangutan foundation international,Orangutan Foundation International,orangutan foundation international,NA,NA
113596687,investment company institute,Investment Company Institute,investment company institute,NA,NA
118803816,liaoning university,Liaoning University,liaoning university,NA,NA
118900405,hypertherm,Hypertherm,hypertherm,NA,NA
124869726,oklahoma wesleyan university,Oklahoma Wesleyan University,oklahoma wesleyan university,NA,NA
125219893,saratov state university,Saratov State University,saratov state university,NA,NA
128193699,slovak university of agriculture,Slovak University of Agriculture,slovak university of agriculture,NA,NA
129373843,moscow state university of economics statistics and informatics,"Moscow State University of Economics, Statistics, and Informatics","moscow state university of economics, statistics, and informatics",NA,NA
137534880,southern federal university,Southern Federal University,southern federal university,NA,NA
139219230,volgograd state university of architecture and civil engineering,Volgograd State University of Architecture and Civil Engineering,volgograd state university of architecture and civil engineering,NA,NA
139787848,capital university,Capital University,capital university,NA,NA
146230289,omron,Omron,omron,NA,NA
157669161,international islamic university chittagong,"International Islamic University, Chittagong","international islamic university, chittagong",NA,NA
161745223,tuv rheinland,TÜV Rheinland,tuv rheinland,NA,NA
163039527,methodist university of sao paulo,Methodist University of São Paulo,methodist university of sao paulo,NA,NA
165953009,tokyo university of the arts,Tokyo University of the Arts,tokyo university of the arts,NA,NA
182083151,king juan carlos university,King Juan Carlos University,king juan carlos university,NA,NA
182722699,shenzhen polytechnic,Shenzhen Polytechnic,shenzhen polytechnic,NA,NA
191240316,university of hull,University of Hull,university of hull,University of Hull,United Kingdom
196274141,omsk state pedagogical university,Omsk State Pedagogical University,omsk state pedagogical university,NA,NA
197070299,richmond fellowship,Richmond Fellowship,richmond fellowship,NA,NA
197250369,general sir john kotelawala defence university,General Sir John Kotelawala Defence University,general sir john kotelawala defence university,NA,NA
200335750,university of transkei,University of Transkei,university of transkei,NA,NA
209381749,new england school of law,New England School of Law,new england school of law,NA,NA
246982481,surigao del sur state university,Surigao del Sur State University,surigao del sur state university,NA,NA
258193883,universidade estadual do parana,Universidade Estadual do Paraná,universidade estadual do parana,NA,NA
341072040,tyndale university college and seminary,Tyndale University College and Seminary,tyndale university college and seminary,NA,NA
867474933,algorithmics inc,Algorithmics Inc.,algorithmics inc.,NA,NA
879689382,metropolitan state university of denver,Metropolitan State University of Denver,metropolitan state university of denver,NA,NA
902849986,union bank of india,Union Bank of India,union bank of india,NA,NA
926574661,leipzig university,Leipzig University,leipzig university,Leipzig University,Germany
927159995,asm international,ASM International,asm international,NA,NA
