affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
33849332;university of malaya;University of Malaya;university of malaya;University of Malaya;Malaysia;
37124676;american arbitration association;American Arbitration Association;american arbitration association;;;
38505995;estonian land board;Estonian Land Board;estonian land board;;;
46084518;malvern college;Malvern College;malvern college;;;
49886154;rush university;Rush University;rush university;Rush University;United States;
55141112;national defence university of malaysia;National Defence University of Malaysia;national defence university of malaysia;;;
56963488;national clonal germplasm repository;National Clonal Germplasm Repository;national clonal germplasm repository;;;
64663401;ensenada center for scientific research and higher education;Ensenada Center for Scientific Research and Higher Education;ensenada center for scientific research and higher education;;;
79889768;federal university of alagoas;Federal University of Alagoas;federal university of alagoas;;;
81726945;marietta college;Marietta College;marietta college;;;
87482320;university of management and technology lahore;University of Management and Technology, Lahore;university of management and technology, lahore;;;
87490745;azerbaijan university;Azerbaijan University;azerbaijan university;;;
99568074;berea college;Berea College;berea college;;;
120156002;boise state university;Boise State University;boise state university;;;
122266389;university of nebraska omaha;University of Nebraska Omaha;university of nebraska omaha;;;
122534668;marche polytechnic university;Marche Polytechnic University;marche polytechnic university;;;
122544976;hebron university;Hebron University;hebron university;;;
124644866;northwest university for nationalities;Northwest University for Nationalities;northwest university for nationalities;;;
129252642;uninett;Uninett;uninett;;;
129902397;dalhousie university;Dalhousie University;dalhousie university;Dalhousie University;Canada;
130042401;center for equal opportunity;Center for Equal Opportunity;center for equal opportunity;;;
130154697;international institute for management development;International Institute for Management Development;international institute for management development;;;
131424057;caledon institute of social policy;Caledon Institute of Social Policy;caledon institute of social policy;;;
135428043;archer;Archer;archer;;;
153215740;centre for blood research;Centre for Blood Research;centre for blood research;;;
153473198;north china electric power university;North China Electric Power University;north china electric power university;North China Electric Power University;China;
153648349;university of leicester;University of Leicester;university of leicester;University of Leicester;United Kingdom;
154796145;ifp school;IFP School;ifp school;;;
157773645;wacker chemie;Wacker Chemie;wacker chemie;;;
158636061;deutz ag;Deutz AG;deutz ag;;;
161237661;lahore college for women university;Lahore College for Women University;lahore college for women university;;;
166541244;educational records bureau;Educational Records Bureau;educational records bureau;;;
169248724;royal free london nhs foundation trust;Royal Free London NHS Foundation Trust;royal free london nhs foundation trust;;;
181297249;allis chalmers corporation;Allis-Chalmers Corporation;allis-chalmers corporation;;;
188891513;sanford burnham institute for medical research;Sanford-Burnham Institute for Medical Research;sanford-burnham institute for medical research;;;
191209535;howon university;Howon University;howon university;;;
191632667;sangamo biosciences;Sangamo BioSciences;sangamo biosciences;;;
192891849;university of wah;University of Wah;university of wah;;;
193620225;okayama prefectural university;Okayama Prefectural University;okayama prefectural university;;;
198068145;scientific and technological research council of turkey;Scientific and Technological Research Council of Turkey;scientific and technological research council of turkey;;;
200607944;ichec brussels management school;ICHEC Brussels Management School;ichec brussels management school;;;
200987962;yerkes national primate research center;Yerkes National Primate Research Center;yerkes national primate research center;;;
205640436;curtin university;Curtin University;curtin university;Curtin University;Australia;
210043505;north caucasus federal university;North-Caucasus Federal University;north-caucasus federal university;;;
232950416;global alliance for improved nutrition;Global Alliance for Improved Nutrition;global alliance for improved nutrition;;;
234927737;australian army veterinary corps;Australian Army Veterinary Corps;australian army veterinary corps;;;
236004819;b r ambedkar bihar university;B. R. Ambedkar Bihar University;b. r. ambedkar bihar university;;;
244907418;nova scotia archives and records management;Nova Scotia Archives and Records Management;nova scotia archives and records management;;;
268658144;azerbaijan state marine academy;Azerbaijan State Marine Academy;azerbaijan state marine academy;;;
277679942;society for psychotherapy research;Society for Psychotherapy Research;society for psychotherapy research;;;
292939124;sitananda college;Sitananda College;sitananda college;;;
332732527;instituto nacional de migracion;Instituto Nacional de Migración;instituto nacional de migracion;;;
334480368;şifa university;Şifa University;sifa university;;;
390465721;petrosa;PetroSA;petrosa;;;
862643178;crh plc;CRH plc;crh plc;;;
883101600;international bureau of weights and measures;International Bureau of Weights and Measures;international bureau of weights and measures;;;
891039680;gai consultants inc;GAI Consultants, Inc.;gai consultants, inc.;;;
1294560359;centre for infectious disease research in zambia;Centre for Infectious Disease Research in Zambia;centre for infectious disease research in zambia;;;
1297502334;democratic republic of the congo ministry of health;Democratic Republic of the Congo Ministry of Health;democratic republic of the congo ministry of health;;;
1301844980;centre for policy research;Centre for Policy Research;centre for policy research;;;
1305244822;new york city law department;New York City Law Department;new york city law department;;;
1305919966;york hospital;York Hospital;york hospital;;;
1306361388;defense nuclear facilities safety board;Defense Nuclear Facilities Safety Board;defense nuclear facilities safety board;;;
1312429998;swedish covenant hospital;Swedish Covenant Hospital;swedish covenant hospital;;;
1313334418;cone health;Cone Health;cone health;;;
1320675724;parsons corporation;Parsons Corporation;parsons corporation;;;
1331168281;national university of public service;National University of Public Service;national university of public service;;;
1335470749;aaron marcus and associates inc;Aaron Marcus and Associates, Inc.;aaron marcus and associates, inc.;;;
1336053918;ochsner health system;Ochsner Health System;ochsner health system;;;
1337977289;laos ministry of agriculture and forestry;Laos Ministry of Agriculture and Forestry;laos ministry of agriculture and forestry;;;
1338772252;new hampshire department of health human services;New Hampshire Department of Health & Human Services;new hampshire department of health & human services;;;
1341432633;atlantic international university;Atlantic International University;atlantic international university;;;
2799436172;maharashtra state board of technical education;Maharashtra State Board of Technical Education;maharashtra state board of technical education;;;
2799481351;bakersfield heart hospital;Bakersfield Heart Hospital;bakersfield heart hospital;;;
2799657323;e on united kingdom;E.ON (United Kingdom);e.on (united kingdom);;;
2800409379;auburn school district;Auburn School District;auburn school district;;;
2800494708;government medical college amritsar;Government Medical College, Amritsar;government medical college, amritsar;;;
2800995106;american jewish archives;American Jewish Archives;american jewish archives;;;
2800999641;xinjiang astronomical observatory;Xinjiang Astronomical Observatory;xinjiang astronomical observatory;;;
2801054121;coeliac uk;Coeliac UK;coeliac uk;;;
2801272649;ronald reagan ucla medical center;Ronald Reagan UCLA Medical Center;ronald reagan ucla medical center;;;
2801475563;hun school of princeton;Hun School of Princeton;hun school of princeton;;;
2801560652;consumers health agriculture and food executive agency;Consumers, Health, Agriculture and Food Executive Agency;consumers, health, agriculture and food executive agency;;;
2801635229;american institute of indian studies;American Institute of Indian Studies;american institute of indian studies;;;
2801783332;city of wolverhampton college;City of Wolverhampton College;city of wolverhampton college;;;
2802285097;ontario shores centre for mental health sciences;Ontario Shores Centre for Mental Health Sciences;ontario shores centre for mental health sciences;;;
2802301621;dudley observatory;Dudley Observatory;dudley observatory;;;
2802411771;dyersburg state community college;Dyersburg State Community College;dyersburg state community college;;;
2802465195;heffter research institute;Heffter Research Institute;heffter research institute;;;
2802529763;letterkenny general hospital;Letterkenny General Hospital;letterkenny general hospital;;;
2802587341;kaohsiung medical university chung ho memorial hospital;Kaohsiung Medical University Chung-Ho Memorial Hospital;kaohsiung medical university chung-ho memorial hospital;;;
2802849764;southeast alaska regional health consortium;Southeast Alaska Regional Health Consortium;southeast alaska regional health consortium;;;
2802990396;indian institute of management tiruchirappalli;Indian Institute of Management Tiruchirappalli;indian institute of management tiruchirappalli;;;
2802994541;southwest airlines united states;Southwest Airlines (United States);southwest airlines (united states);;;
3005474124;san mateo county community college district;San Mateo County Community College District;san mateo county community college district;;;
1157684;indian school of international studies;Indian School of International Studies;indian school of international studies;;;
18550681;pham ngoc thach university of medicine;Pham Ngoc Thach University of Medicine;pham ngoc thach university of medicine;;;
28022161;king saud university;King Saud University;king saud university;King Saud University;Saudi Arabia;
32869367;swiss national bank;Swiss National Bank;swiss national bank;;;
42131985;national health and medical research council;National Health and Medical Research Council;national health and medical research council;;;
45438204;university of texas at san antonio;University of Texas at San Antonio;university of texas at san antonio;University of Texas at San Antonio;United States;
46943848;chiba university of commerce;Chiba University of Commerce;chiba university of commerce;;;
47282705;china classification society;China Classification Society;china classification society;;;
51629411;siemens energy sector;Siemens Energy Sector;siemens energy sector;;;
52496869;vardhaman mahaveer open university;Vardhaman Mahaveer Open University;vardhaman mahaveer open university;;;
55106644;hogeschool van amsterdam;Hogeschool van Amsterdam;hogeschool van amsterdam;;;
63471342;university of magallanes;University of Magallanes;university of magallanes;;;
67236832;norwegian institute for urban and regional research;Norwegian Institute for Urban and Regional Research;norwegian institute for urban and regional research;;;
71052956;university of reading;University of Reading;university of reading;University of Reading;United Kingdom;
74525822;hubei university of technology;Hubei University of Technology;hubei university of technology;;;
84606831;terumo;Terumo;terumo;;;
91221267;minnesota state colleges and universities system;Minnesota State Colleges and Universities System;minnesota state colleges and universities system;;;
98559091;rzeszow university;Rzeszów University;rzeszow university;;;
102520234;cologne university of applied sciences;Cologne University of Applied Sciences;cologne university of applied sciences;;;
107229657;zamorano;Zamorano;zamorano;;;
110525433;islamic azad university;Islamic Azad University;islamic azad university;;;
112862951;university of messina;University of Messina;university of messina;University of Messina;Italy;
117807411;national society of professional engineers;National Society of Professional Engineers;national society of professional engineers;;;
121243025;international islamic university islamabad;International Islamic University, Islamabad;international islamic university, islamabad;;;
121407953;sonatrach;Sonatrach;sonatrach;;;
121934306;tufts university;Tufts University;tufts university;Tufts University;United States;
128514506;toko university;Toko University;toko university;;;
129604602;university of sydney;University of Sydney;university of sydney;University of Sydney;Australia;
131010432;polaroid corporation;Polaroid Corporation;polaroid corporation;;;
132153292;indian institute of technology patna;Indian Institute of Technology Patna;indian institute of technology patna;;;
141882310;sapporo medical university;Sapporo Medical University;sapporo medical university;;;
142395110;astellas pharma;Astellas Pharma;astellas pharma;;;
150263970;jagannath university;Jagannath University;jagannath university;;;
157455823;state university of new york at new paltz;State University of New York at New Paltz;state university of new york at new paltz;;;
158139479;horiba;Horiba;horiba;;;
165526535;royal college of art;Royal College of Art;royal college of art;;;
178319760;kuvempu university;Kuvempu University;kuvempu university;;;
180740530;national committee for quality assurance;National Committee for Quality Assurance;national committee for quality assurance;;;
181598100;grove city college;Grove City College;grove city college;;;
184461464;ambassador college;Ambassador College;ambassador college;;;
184544187;boston consulting group;Boston Consulting Group;boston consulting group;;;
199688382;maritime university of szczecin;Maritime University of Szczecin;maritime university of szczecin;;;
207927366;canadian tax foundation;Canadian Tax Foundation;canadian tax foundation;;;
224907939;terreform one;Terreform ONE;terreform one;;;
225946613;universal forest products;Universal Forest Products;universal forest products;;;
229504127;naktuinbouw;Naktuinbouw;naktuinbouw;;;
244504473;karnataka veterinary animal and fisheries sciences university;Karnataka Veterinary, Animal and Fisheries Sciences University;karnataka veterinary, animal and fisheries sciences university;;;
328687352;grains research and development corporation;Grains Research and Development Corporation;grains research and development corporation;;;
852585421;glasspoint solar;GlassPoint Solar;glasspoint solar;;;
869066700;cosmo oil company;Cosmo Oil Company;cosmo oil company;;;
890216934;junior state of america;Junior State of America;junior state of america;;;
896114043;edward via college of osteopathic medicine;Edward Via College of Osteopathic Medicine;edward via college of osteopathic medicine;;;
897650225;grenfell campus;Grenfell Campus;grenfell campus;;;
908894572;furuno;Furuno;furuno;;;
920371921;rudolph technologies inc;Rudolph Technologies, Inc.;rudolph technologies, inc.;;;
1297971548;international computer science institute;International Computer Science Institute;international computer science institute;;;
1313079697;southwest university of political science law;Southwest University of Political Science & Law;southwest university of political science & law;;;
1315723689;missouri department of natural resources;Missouri Department of Natural Resources;missouri department of natural resources;;;
1319473763;volkswagen group;Volkswagen Group;volkswagen group;;;
1321012229;wisconsin center for education research;Wisconsin Center for Education Research;wisconsin center for education research;;;
1343755810;war department;War Department;war department;;;
2252078561;facebook;Facebook;facebook;;;
2763278951;power corporation of canada;Power Corporation of Canada;power corporation of canada;;;
2799272863;german cancer aid;German Cancer Aid;german cancer aid;;;
2799399103;company of biologists;Company of Biologists;company of biologists;;;
2799544991;deutsche welle;Deutsche Welle;deutsche welle;;;
2799582683;sussex partnership nhs foundation trust;Sussex Partnership NHS Foundation Trust;sussex partnership nhs foundation trust;;;
2799785534;eastern shore hospital center;Eastern Shore Hospital Center;eastern shore hospital center;;;
2799808894;siveco romania;SIVECO (Romania);siveco (romania);;;
2800186071;yeovil district hospital nhs foundation trust;Yeovil District Hospital NHS Foundation Trust;yeovil district hospital nhs foundation trust;;;
2800293973;montreal general hospital;Montreal General Hospital;montreal general hospital;;;
2800308760;atlanta history center;Atlanta History Center;atlanta history center;;;
2800442973;new york state coalition against domestic violence;New York State Coalition Against Domestic Violence;new york state coalition against domestic violence;;;
2800591879;sew eurodrive germany;SEW Eurodrive (Germany);sew eurodrive (germany);;;
2800748539;owensboro community and technical college;Owensboro Community and Technical College;owensboro community and technical college;;;
2801038905;mount vernon hospital;Mount Vernon Hospital;mount vernon hospital;;;
2801106189;dijlah university college;Dijlah University College;dijlah university college;;;
2801590645;health and disability commissioner;Health and Disability Commissioner;health and disability commissioner;;;
2801928442;lilly endowment;Lilly Endowment;lilly endowment;;;
2801928610;maritime and port authority of singapore;Maritime and Port Authority of Singapore;maritime and port authority of singapore;;;
2802026383;surry community college;Surry Community College;surry community college;;;
2802087132;grameen foundation;Grameen Foundation;grameen foundation;;;
2802181116;save the redwoods league;Save the Redwoods League;save the redwoods league;;;
2802197186;central party school of the communist party of china;Central Party School of the Communist Party of China;central party school of the communist party of china;;;
2802270767;american thyroid association;American Thyroid Association;american thyroid association;;;
2802362320;abastumani astrophysical observatory;Abastumani Astrophysical Observatory;abastumani astrophysical observatory;;;
2802434934;nantucket cottage hospital;Nantucket Cottage Hospital;nantucket cottage hospital;;;
2802473705;new mexico junior college;New Mexico Junior College;new mexico junior college;;;
2802668928;ibn sina national college for medical studies;Ibn Sina National College for Medical Studies;ibn sina national college for medical studies;;;
2802792484;batumi botanical garden;Batumi Botanical Garden;batumi botanical garden;;;
2909911373;wellbeing of women;Wellbeing of Women;wellbeing of women;;;
4038911;royal economic society;Royal Economic Society;royal economic society;;;
8833935;university of leon;University of León;university of leon;;;
10541126;sri manakula vinayagar engineering college;Sri Manakula Vinayagar Engineering College;sri manakula vinayagar engineering college;;;
21916871;ramakrishna mission vivekananda college;Ramakrishna Mission Vivekananda College;ramakrishna mission vivekananda college;;;
24114819;escola superior de ciencias empresariais;Escola Superior de Ciências Empresariais;escola superior de ciencias empresariais;;;
27893755;greehey children s cancer research institute;Greehey Children's Cancer Research Institute;greehey children's cancer research institute;;;
31459862;naropa university;Naropa University;naropa university;;;
34062142;marlow industries;Marlow Industries;marlow industries;;;
36137796;greening australia;Greening Australia;greening australia;;;
42097590;institute for european environmental policy;Institute for European Environmental Policy;institute for european environmental policy;;;
46714299;cypress college;Cypress College;cypress college;;;
47301684;illinois state university;Illinois State University;illinois state university;;;
47818738;sultan qaboos university;Sultan Qaboos University;sultan qaboos university;Sultan Qaboos University;Oman;
54195498;kazan state technological university;Kazan State Technological University;kazan state technological university;;;
60342839;qatar university;Qatar University;qatar university;Qatar University;Qatar;
60655068;center for advanced studies in engineering;Center for Advanced Studies in Engineering;center for advanced studies in engineering;;;
60875605;melbourne business school;Melbourne Business School;melbourne business school;;;
66005833;niigata university of health and welfare;Niigata University of Health and Welfare;niigata university of health and welfare;;;
70886390;karlsruhe university of applied sciences;Karlsruhe University of Applied Sciences;karlsruhe university of applied sciences;;;
76571253;university of dammam;University of Dammam;university of dammam;;;
79778647;osaka university of economics and law;Osaka University of Economics and Law;osaka university of economics and law;;;
79833322;pomeranian medical university;Pomeranian Medical University;pomeranian medical university;;;
82002896;central university of venezuela;Central University of Venezuela;central university of venezuela;;;
88170914;scottish association for marine science;Scottish Association for Marine Science;scottish association for marine science;;;
100286613;hunan institute of science and technology;Hunan Institute of Science and Technology;hunan institute of science and technology;;;
100362151;moorpark college;Moorpark College;moorpark college;;;
107109794;henley college coventry;Henley College Coventry;henley college coventry;;;
115498069;jikei university school of medicine;Jikei University School of Medicine;jikei university school of medicine;;;
120379545;inner mongolia agricultural university;Inner Mongolia Agricultural University;inner mongolia agricultural university;;;
137794331;all india institute of hygiene and public health;All India Institute of Hygiene and Public Health;all india institute of hygiene and public health;;;
143947835;liberty fund;Liberty Fund;liberty fund;;;
144648426;norwegian computing center;Norwegian Computing Center;norwegian computing center;;;
147280213;universidad veracruzana;Universidad Veracruzana;universidad veracruzana;;;
147727580;dr b r ambedkar university;Dr. B. R. Ambedkar University;dr. b. r. ambedkar university;;;
147869694;continental ag;Continental AG;continental ag;;;
152236710;foundation university islamabad;Foundation University, Islamabad;foundation university, islamabad;;;
164129987;global insight;Global Insight;global insight;;;
165527514;cerritos college;Cerritos College;cerritos college;;;
175897420;bedford college of higher education;Bedford College of Higher Education;bedford college of higher education;;;
181361081;longyan university;Longyan University;longyan university;;;
181630140;pavai college of technology;Pavai College of Technology;pavai college of technology;;;
183348475;regina qu appelle health region;Regina Qu'Appelle Health Region;regina qu'appelle health region;;;
192274371;surrey county council;Surrey County Council;surrey county council;;;
192878625;plovdiv university paisii hilendarski;"""Plovdiv University """"Paisii Hilendarski""""""";"""plovdiv university """"paisii hilendarski""""""";;;
194114089;vladivostok state medical university;Vladivostok State Medical University;vladivostok state medical university;;;
199883085;plant genome mapping laboratory;Plant Genome Mapping Laboratory;plant genome mapping laboratory;;;
200812394;rockefeller institute of government;Rockefeller Institute of Government;rockefeller institute of government;;;
201537933;tohoku university;Tohoku University;tohoku university;Tohoku University;Japan;
202197592;r v s college of engineering and technology;R.V.S College of Engineering and Technology;r.v.s college of engineering and technology;;;
204291657;hosei university;Hosei University;hosei university;;;
204593131;college of charleston;College of Charleston;college of charleston;;;
208215962;paul valery university montpellier iii;Paul Valéry University, Montpellier III;paul valery university, montpellier iii;;;
219193219;purdue university;Purdue University;purdue university;;;
240808814;instituto federal baiano;Instituto Federal Baiano;instituto federal baiano;;;
242692392;bulacan state university;Bulacan State University;bulacan state university;;;
252922866;royal school of military survey;Royal School of Military Survey;royal school of military survey;;;
288726358;severstal north america;Severstal North America;severstal north america;;;
297102676;xto energy;XTO Energy;xto energy;;;
316914537;autism science foundation;Autism Science Foundation;autism science foundation;;;
335101114;university of medical sciences cienfuegos;University of Medical Sciences, Cienfuegos;university of medical sciences, cienfuegos;;;
865432163;control group;Control Group;control group;;;
865461992;epcos ag;EPCOS AG;epcos ag;;;
868244695;central university india;Central University, India;central university, india;;;
1286857134;national museums liverpool;National Museums Liverpool;national museums liverpool;;;
1293519847;counterintelligence field activity;Counterintelligence Field Activity;counterintelligence field activity;;;
1293723699;european observatory on health systems and policies;European Observatory on Health Systems and Policies;european observatory on health systems and policies;;;
1312486979;local initiatives support corporation;Local Initiatives Support Corporation;local initiatives support corporation;;;
1324682000;regenstrief institute;Regenstrief Institute;regenstrief institute;;;
1324925910;st thomas hospital;St Thomas' Hospital;st thomas' hospital;;;
1332002065;canadian museum of history;Canadian Museum of History;canadian museum of history;;;
1335195914;kessler institute for rehabilitation;Kessler Institute for Rehabilitation;kessler institute for rehabilitation;;;
1336377119;substance abuse and mental health services administration;Substance Abuse and Mental Health Services Administration;substance abuse and mental health services administration;;;
1343558604;statistical and applied mathematical sciences institute;Statistical and Applied Mathematical Sciences Institute;statistical and applied mathematical sciences institute;;;
1344118625;general directorate of highways;General Directorate of Highways;general directorate of highways;;;
2799652594;concept foundation;Concept Foundation;concept foundation;;;
2799793717;sutter medical center;Sutter Medical Center;sutter medical center;;;
2800235127;moscow architectural institute;Moscow Architectural Institute;moscow architectural institute;;;
2800391850;lake region state college;Lake Region State College;lake region state college;;;
2800430505;aab college;AAB College;aab college;;;
2800551363;wayne memorial hospital;Wayne Memorial Hospital;wayne memorial hospital;;;
2800621266;west hertfordshire hospitals nhs trust;West Hertfordshire Hospitals NHS Trust;west hertfordshire hospitals nhs trust;;;
2800648497;confederation college;Confederation College;confederation college;;;
2800849173;xaverian college;Xaverian College;xaverian college;;;
2801362106;ronald mcdonald house charities;Ronald McDonald House Charities;ronald mcdonald house charities;;;
2801419690;congress of aboriginal peoples;Congress of Aboriginal Peoples;congress of aboriginal peoples;;;
2801455325;lewis and clark community college;Lewis and Clark Community College;lewis and clark community college;;;
2801908541;huygens institute for the history of the netherlands;Huygens Institute for the History of the Netherlands;huygens institute for the history of the netherlands;;;
2802059731;association of german engineers;Association of German Engineers;association of german engineers;;;
2802117854;valley presbyterian hospital;Valley Presbyterian Hospital;valley presbyterian hospital;;;
2802180738;indian society of international law;Indian Society of International Law;indian society of international law;;;
2802330145;barcelona centre for international affairs;Barcelona Centre for International Affairs;barcelona centre for international affairs;;;
2802391510;european centre for nature conservation;European Centre for Nature Conservation;european centre for nature conservation;;;
2802595003;kuwait cancer control center;Kuwait Cancer Control Center;kuwait cancer control center;;;
2802853861;norfolk county council;Norfolk County Council;norfolk county council;;;
2803056446;lower saxony state museum;Lower Saxony State Museum;lower saxony state museum;;;
2135383;escuela superior politecnica del litoral;Escuela Superior Politecnica del Litoral;escuela superior politecnica del litoral;;;
2303707;ouachita baptist university;Ouachita Baptist University;ouachita baptist university;;;
10213569;cape breton university;Cape Breton University;cape breton university;;;
10420973;f c donders centre for cognitive neuroimaging;F.C. Donders Centre for Cognitive Neuroimaging;f.c. donders centre for cognitive neuroimaging;;;
18283598;wheeling jesuit university;Wheeling Jesuit University;wheeling jesuit university;;;
19406000;concordia university chicago;Concordia University Chicago;concordia university chicago;;;
21881038;bogor agricultural university;Bogor Agricultural University;bogor agricultural university;;;
24250683;sibelius academy;Sibelius Academy;sibelius academy;;;
24354313;university of buenos aires;University of Buenos Aires;university of buenos aires;University of Buenos Aires;Argentina;
30024211;genus plc;Genus plc;genus plc;;;
33783412;nigerian defence academy;Nigerian Defence Academy;nigerian defence academy;;;
35906937;university of misan;University of Misan;university of misan;;;
42128374;esso australia;Esso Australia;esso australia;;;
44032847;r m k college of engineering and technology;R.M.K. College of Engineering and Technology;r.m.k. college of engineering and technology;;;
46000314;mustafa kemal university;Mustafa Kemal University;mustafa kemal university;;;
48714440;jerash private university;Jerash Private University;jerash private university;;;
55983066;samsung sds;Samsung SDS;samsung sds;;;
65576667;huron institute;Huron Institute;huron institute;;;
71178462;bmj group;BMJ Group;bmj group;;;
72718475;jawaharlal nehru national college of engineering;Jawaharlal Nehru National College of Engineering;jawaharlal nehru national college of engineering;;;
81130409;webster university thailand;Webster University Thailand;webster university thailand;;;
82667897;vlsi technology;VLSI Technology;vlsi technology;;;
87547150;southern illinois university edwardsville;Southern Illinois University Edwardsville;southern illinois university edwardsville;;;
96849854;ringling college of art and design;Ringling College of Art and Design;ringling college of art and design;;;
100063501;brighton and sussex medical school;Brighton and Sussex Medical School;brighton and sussex medical school;;;
108650528;teradata;Teradata;teradata;;;
108754898;university of annaba;University of Annaba;university of annaba;;;
119336515;dow agrosciences;Dow AgroSciences;dow agrosciences;;;
122228004;htw berlin university of applied sciences;HTW Berlin - University of Applied Sciences;htw berlin - university of applied sciences;;;
129643931;beuth university of applied sciences berlin;Beuth University of Applied Sciences Berlin;beuth university of applied sciences berlin;;;
131740757;texas a m international university;Texas A&M International University;texas a&m international university;;;
134841294;binzhou medical college;Binzhou Medical College;binzhou medical college;;;
141568987;hong kong baptist university;Hong Kong Baptist University;hong kong baptist university;Hong Kong Baptist University;China;
149735164;hengyang normal university;Hengyang Normal University;hengyang normal university;;;
152033890;hainan normal university;Hainan Normal University;hainan normal university;;;
153414339;krasnoyarsk state university;Krasnoyarsk State University;krasnoyarsk state university;;;
155302661;united nations university international institute for software technology;United Nations University International Institute for Software Technology;united nations university international institute for software technology;;;
156545559;st christopher s hospice;St Christopher's Hospice;st christopher's hospice;;;
157066012;gleason corporation;Gleason Corporation;gleason corporation;;;
159272336;university center of belo horizonte;University Center of Belo Horizonte;university center of belo horizonte;;;
169016828;shimane university;Shimane University;shimane university;Shimane University;Japan;
173920048;california national primate research center;California National Primate Research Center;california national primate research center;;;
177486454;sandisk;SanDisk;sandisk;;;
177671886;mercu buana university;Mercu Buana University;mercu buana university;;;
178098764;brother industries;Brother Industries;brother industries;;;
181761882;the college of st scholastica;The College of St. Scholastica;the college of st. scholastica;;;
182915172;kagawa nutrition university;Kagawa Nutrition University;kagawa nutrition university;;;
184346494;ohalo college;Ohalo College;ohalo college;;;
186546598;monterey peninsula college;Monterey Peninsula College;monterey peninsula college;;;
189586868;jamal mohamed college;Jamal Mohamed College;jamal mohamed college;;;
189863961;canadian wheat board;Canadian Wheat Board;canadian wheat board;;;
189996419;kawasaki medical school;Kawasaki Medical School;kawasaki medical school;;;
193033237;institut superieur de l aeronautique et de l espace;Institut supérieur de l'aéronautique et de l'espace;institut superieur de l'aeronautique et de l'espace;;;
194498584;academy of fine arts helsinki;Academy of Fine Arts, Helsinki;academy of fine arts, helsinki;;;
195740183;university of moratuwa;University of Moratuwa;university of moratuwa;;;
206816349;nagpur institute of technology;Nagpur Institute of Technology;nagpur institute of technology;;;
208109033;national youth council of ireland;National Youth Council of Ireland;national youth council of ireland;;;
274822966;panchakot mahavidyalaya;Panchakot Mahavidyalaya;panchakot mahavidyalaya;;;
283568218;plum creek timber;Plum Creek Timber;plum creek timber;;;
337868014;klaipėda university;Klaipėda University;klaipeda university;;;
860813019;bharath university;Bharath University;bharath university;;;
882406646;universiti islam sultan sharif ali;Universiti Islam Sultan Sharif Ali;universiti islam sultan sharif ali;;;
889804353;bosch;Bosch;bosch;;;
890469752;ministry of industry and information technology of the people s republic of china;Ministry of Industry and Information Technology of the People's Republic of China;ministry of industry and information technology of the people's republic of china;;;
901017165;new york college of health professions;New York College of Health Professions;new york college of health professions;;;
915192651;mcmaster faculty of health sciences;McMaster Faculty of Health Sciences;mcmaster faculty of health sciences;;;
1282496473;banco de prevision social;Banco de Previsión Social;banco de prevision social;;;
1286905821;bangladesh forest research institute;Bangladesh Forest Research Institute;bangladesh forest research institute;;;
1288067677;chemical bank;Chemical Bank;chemical bank;;;
1292793854;rishi valley school;Rishi Valley School;rishi valley school;;;
1294715344;ingenuity systems;Ingenuity Systems;ingenuity systems;;;
1297026177;american sociological association;American Sociological Association;american sociological association;;;
1301386378;dutch ministry of social affairs and employment;Dutch Ministry of Social Affairs and Employment;dutch ministry of social affairs and employment;;;
1304921434;consumers union;Consumers Union;consumers union;;;
1310133437;national humanities center;National Humanities Center;national humanities center;;;
1310866531;consejo nacional de ciencia y tecnologia;Consejo Nacional de Ciencia y Tecnología;consejo nacional de ciencia y tecnologia;;;
1311643757;comac;Comac;comac;;;
1332462009;carolinas medical center northeast;Carolinas Medical Center-NorthEast;carolinas medical center-northeast;;;
1340111290;mercy medical center;Mercy Medical Center (Cedar Rapids, Iowa);mercy medical center (cedar rapids, iowa);;;
1342547582;environment canada;Environment Canada;environment canada;;;
2799594227;seton medical center;Seton Medical Center;seton medical center;;;
2800060950;blackhawk technical college;Blackhawk Technical College;blackhawk technical college;;;
2800099964;overlook medical center;Overlook Medical Center;overlook medical center;;;
2800284119;smith institute;Smith Institute;smith institute;;;
2800482329;creighton university medical center;Creighton University Medical Center;creighton university medical center;;;
2801280572;environmental molecular sciences laboratory;Environmental Molecular Sciences Laboratory;environmental molecular sciences laboratory;;;
2801387305;baptist theological college of southern africa;Baptist Theological College of Southern Africa;baptist theological college of southern africa;;;
2801417052;society for maternal fetal medicine;Society for Maternal-Fetal Medicine;society for maternal-fetal medicine;;;
2801418622;auckland city hospital;Auckland City Hospital;auckland city hospital;;;
2801541149;emirates academy of hospitality management;Emirates Academy of Hospitality Management;emirates academy of hospitality management;;;
2801795571;association for supervision and curriculum development;Association for Supervision and Curriculum Development;association for supervision and curriculum development;;;
2801870424;askham bryan college;Askham Bryan College;askham bryan college;;;
2802127907;intensive care foundation;Intensive Care Foundation;intensive care foundation;;;
2802180913;israel aerospace industries israel;Israel Aerospace Industries (Israel);israel aerospace industries (israel);;;
2802212778;florida hospital heartland medical center;Florida Hospital Heartland Medical Center;florida hospital heartland medical center;;;
2802232723;colorado community college system;Colorado Community College System;colorado community college system;;;
2802503139;suzuka junior college;Suzuka Junior College;suzuka junior college;;;
