University;Country;university_normalized;matched;
Universitat Politècnica de València;Spain;universitat politecnica de valencia;TRUE;
Universität Regensburg;Germany;universitat regensburg;TRUE;
Universität zu Lübeck;Germany;universitat zu lubeck;TRUE;
Université Côte d’Azur;France;universite cote d'azur;FALSE;
Université de Lorraine;France;universite de lorraine;TRUE;
Université de Nantes;France;universite de nantes;TRUE;
Université de Paris;France;universite de paris;TRUE;
Université de Tours;France;universite de tours;TRUE;
Université de Tunis El Manar;Tunisia;universite de tunis el manar;TRUE;
Université de Versailles Saint-Quentin-en-Yvelines;France;universite de versailles saint-quentin-en-yvelines;TRUE;
Université des Sciences et de la Technologie Houari Boumediene;Algeria;universite des sciences et de la technologie houari boumediene;TRUE;
Université Grenoble Alpes;France;universite grenoble alpes;TRUE;
Université Laval;Canada;universite laval;TRUE;
Université Paris Sciences et Lettres;France;universite paris sciences et lettres;TRUE;
Université Paris-Est Créteil Val de Marne;France;universite paris-est creteil val de marne;TRUE;
Université Sorbonne Paris Nord;France;universite sorbonne paris nord;FALSE;
Université Toulouse III - Paul Sabatier;France;universite toulouse iii - paul sabatier;TRUE;
Universiti Kebangsaan Malaysia;Malaysia;universiti kebangsaan malaysia;TRUE;
University at Albany, The State University of New York;United States;university at albany, the state university of new york;TRUE;
University at Buffalo, The State University of New York;United States;university at buffalo, the state university of new york;TRUE;
University of Agriculture Faisalabad;Pakistan;university of agriculture faisalabad;TRUE;
University of Agriculture in Kraków;Poland;university of agriculture in krakow;TRUE;
University of Alabama, Birmingham;United States;university of alabama, birmingham;TRUE;
University of Alabama, Tuscaloosa;United States;university of alabama, tuscaloosa;TRUE;
University of Alaska, Fairbanks;United States;university of alaska, fairbanks;TRUE;
University of Arkansas for Medical Sciences, Little Rock;United States;university of arkansas for medical sciences, little rock;TRUE;
University of Arkansas, Fayetteville;United States;university of arkansas, fayetteville;TRUE;
University of Bari Aldo Moro;Italy;university of bari aldo moro;TRUE;
University of Caen Normandy;France;university of caen normandy;TRUE;
"University of Campania ""Luigi Vanvitelli""";Italy;"university of campania ""luigi vanvitelli""";TRUE;
University of Campinas;Brazil;university of campinas;TRUE;
